id	cleaned_text	HS	TR	AG
903	nice to see the guardian acknowledging that mass immigration destroys culture and a people's identity i sure that wasn't the intention of the article but it is the truth	0	0	0
8330	we know that not all men are rapists but unfortunately 1 in 4 women and 1 in 6 men have experienced abuse....and that is too many victims	0	0	0
5437	user fucking hoe ass fucking cunt shut up fucking dirty ass mouth you fucking bitch i gonna fucking block you	1	1	1
5695	user and enough women make false rape accusations against men for us not to trust you	1	0	0
2495	are you wondering what you can do to make a tangible difference in the lives of refugees watch this video to learn how you can rally the support of your friends and family and help refugees rebuild their lives and then join the campaign âž	0	0	0
8758	user long rape scene even though there was no sex scene in the movie and the woman agreed to a rape fantasy then stopped it lot	0	0	0
5789	on the other hands you women are pieces of meat and should be glad you're even allowed to vote in my country	1	0	1
1587	user oh we created the medical refugees america fight for their country others run.. (..	1	0	1
4757	too bad my stupid loyal bitch ass dropped all my hoes that smoked me out for an ain't shit boy	1	0	0
683	user used dreamer illegal aliens defraud the america dream#nodacadeal client eastward was mocked fortis 2012 roc speech yet the new#obamapainting confirms obamais nothing but an empty chair.clint	1	0	0
5167	user babe i wanna thank you for having such insane anal scenes your scene from slut auditions is my allative far	1	1	0
860	federal judge rules against challenge to border wall	0	0	0
8060	user user user i can't help suspecting it's deliberate if we women are hysterical con	0	0	0
7493	it's never personal with me cause i wouldn't ever care that much	0	0	0
1920	the left wants is open borders what will that bring the united states - high crime low wages an overburdened...	1	0	1
4396	user with	1	0	1
6664	you're chip leader and your hole cards are oh is are you taking it down	0	0	0
2920	why r we so liberal in letting illegal immigrants in india,particularly special community of cong/tmc.link radar with voter id	1	0	1
678	user fronted the world's biggest accountants they love counting migrants too bad they don't like securing the border user	0	0	0
6519	a 17 year old girl gets raped 3 times in one walk home by 5-6 different men and people will still claim rape cases are outliers	0	0	0
1220	i grew up on a rough council estate back in the 70's, that don't make me special it makes me able to say this..labour now detest the white working class and any other color working class in favor of the immigrant vote and they should be reviled for what they have done to brain	0	0	0
6357	can't even date or talk to a girl who is an attention whore on social media what makes you think ma date or talk to a hoe in real life	1	0	0
2548	be withdraws biased educational film about immigration via user	0	0	0
538	user user user why are these illegal immigrant invaders not migrants desperate to get to the up is it to escape the war in france or maybe it is to get a free house free money and freeload from the taxpayers while working	1	0	1
2781	"user i agree with most of it regarding ""occupying"", this is the story of all countries in america not only canada but do acknowledge this issue and our past but never forget canadians are one people natives syria refugees english are"	0	0	0
811	user well done baron burgers for shopping illegal immigrants with false papers and tough if they get deported and idiots who say	1	0	1
6168	user another dried up liberal cunt willing to look the other way while hollywoods powerful abuse women i	1	1	0
4570	trump pentagon will build wall thank you president trump we want the wall in san dingo a user	1	0	1
8292	it's 2017 and up stillllll slut shaming bitch bye	0	0	0
2530	professor user co-director of nurse's immigrant justice clinic weighs in on the abolish ice movement for the user	0	0	0
4326	user even a gym wouldn't hire him and who a heck got him in dc	1	1	0
7930	user not all men - at least one woman	0	0	0
458	maybe diversity.or results of western globalization,war propaganda of pentagon n hollywood,arming terrorists/anti-govt groups,refugees can be good for economy for labors/trafficking.eiffel tower in glass is many things.but it's not peace user user	0	0	0
3434	user every country has a right to defend its border and determine who comes into their country is not a right	1	0	1
6761	user ensure you use a closed lid with a hole in the centre.. else you'll send beans flying everywhere	0	0	0
5552	when your side bitch tells you she's pregnant and keeping it	1	1	0
8278	just got a ticket for going to my own park after hours . like night close the gate then u dumb slut cunt hoe . night said nice car when ....	0	0	0
2392	user it's kind of funny really were the space aliens illegal now we need a wall & a roof i think this country has gone totally nuts god bless user for his strength & courage and if he blocks the democrats out t	1	0	1
1291	watch german make human-wall to stop migrants at czech border you're not welcome here - free speech time - user	0	0	0
5817	when a girl just stops talking to you don't sweat it guys you did nothing wrong girls are just stupid and don't ever know what they want	1	0	0
6113	user fuck you u a fucking whore lie bitch i don't even like u the	1	1	0
2512	checkout this cool video review that features our picture book irking berlin the immigrant boy who made america sing user	0	0	0
7586	all summer 16	0	0	0
3253	user the wall would help	1	0	0
7329	it user if you verbally abuse a fuckboy, is it considered animal cruelty asking for a friend also can said friend end up in	0	0	0
2672	austria - locals call to deport migrants after hundreds of museums take to streets to embrace hezbollah - free speech time - user	1	0	0
8104	user this crazy fuck thinks women are hysterical and driven only by their hormones look in the mirror fake accent loony	0	0	0
3088	tactics of left/soros network @amnestyslovenia, smugglers camp migrants falsely accuse border guards of brutality in effort to intimidate attacks very harmful to guards-citizens they protect.disrupt deports camp smear user but in irrelevant toothless obsolete.onward	1	0	1
783	user user user imagine the size that red wave god bless trumpbuild that wall#buildthatwall ply share	1	0	0
5872	user user user my nan was a cunt and nobody liked her one woman cried at her funeral and	1	1	0
1488	unbelievable census bureau 44.6% in a don't at home 35.6%; 35.6% in the 34.5% in my 31.7% in not 31.0% in my our schools r getting 150% funding for every student who doesn't speak well parents job	1	0	0
7701	the savagery	0	0	0
544	user yes things need to be done with calm controlled minds so irreparable mistakes won't be made	1	0	0
7918	user user thank you not all men are bad in fact this isn't just a man problem have had women say	0	0	0
4367	sweden dentist fined nearly 50,000 for revealing that many adult muslin migrants are posing as unaccompanied refugee children via user swedenstan update...	0	0	0
8951	night hating on me you pussy boy don't start it	0	0	0
615	all refugees want to return to but have concerns over security and want to monitor their return user user user user user user user user user	0	0	0
8149	user no that would be girls	0	0	0
805	came to as an armenia immigrants resisted fascism survived fought for and equality demanded justice for the died a hero	0	0	0
1394	user immigrants this is a country of law if you have the law welcome but if you are against the law you have two ways to got go home or go to jail	1	0	0
3770	"here's a question for the twitterverse what kind of an asshole calls himself an america but does nothing except defend illegal immigrant kids while he watches his fellow america getting killed by criminalizes this kind - rep ted ""tedhead"" lieu (d-jo can aka the bcdotus"""	1	1	0
5882	user i hope that dumb cunt gets her face beat in by a black woman over hearing her using the word nigger	1	1	1
4174	the optic christian mainly woman had their husbands killed by insist now the political islamist's/perpetrators have fled the scenes of the crimes and run off to the west where they are treated as so called refugees in need and are welcomed by the lunatic far left what a mess	1	0	1
4185	arizona border cams capture 25 straight minutes of rapists & murderers crossing border illegally	1	0	1
8004	user not all men some and at least i not defending them like you are with the pussy grabber	0	0	0
7650	me trying to flirt hey cut dumpster wanna fuck	0	0	0
924	activists demand justice for after admitted mass killing user user user user user user user user	0	0	0
2414	user looks like no ones running brain our cities are out of control thanks to e migration an all to often picture of modern up	1	0	0
6867	user has never had a woman accuse him of any inappropriate behavior but slick willie has been accused of rape by several women	0	0	0
6324	i don't have a fiesta be i not a hoe first of all bitch i saw u 5 tequila shots deep w your shirt off at that frat party fridge	1	1	0
4577	germany court rules that muslin migrant may become german citizen despite having two wives via user hitter may come back from the grave just to choke merkel...	1	0	1
5471	your girlfriend looking at me like a groupie in this bitch	1	1	0
4035	user user user user this is the mindset of the people the left are aligning themselves with and tighten our immigration laws user	1	0	0
3852	bitch mcconnell endorses reductions in legal immigration	0	0	0
5871	i love a woman in red heels big fitted mother getting a cunt full of cut	1	0	0
6568	hole in one and you deserve for it.congrats	0	0	0
6622	user mike i don't know you from a hole in the wall you're a businessman either way you can't lose but	0	0	0
4766	user no bitch this girl annoying	1	1	0
410	migration policy has killed over 1,500 refugees at sea so far this year	0	0	0
4634	please 2 million dollars each call to tax mexico 2,000 per illegal immigrant to pay for trumps wall	1	0	0
2584	vive la and a lot of other nations too as migrant sons lift	0	0	0
1212	each months we provide food vouchers to our beneficiaries food vouchers give refugees some independence and a feeling of control as they can choose their own groceries families who receive food vouchers say that they feel more dignity as they won't have to accept handouts	0	0	0
8935	i so sick of people treating me like shit then try to come back in my life after they changed fuck you fuck your growth cause idea sank bitch	0	0	0
8502	bitches was in the nth grade getting driven home from school by their boyfriends looking back at their whore ways mad at game	0	0	0
6231	user you mean she still has morals after what we put her through let's rape her give her herpes and call her a fame whore to everyone	1	1	1
5528	are naturally lazy this is why is popular as they want privilege without responsibility lady	1	0	0
2157	me not a housemen not adult day care camp for migrants seeking handouts or to profit from crime.tunisia abusing but which has leverage it lacks courage to use it must send messageðÿ‘‰either stop boats camp take back citizens or we bury you economically espy leaders	0	0	0
6588	user user user user cunt your 16 don't act like you art lot go to bed before i knock your block off	0	0	0
5208	good girls send nudes	1	0	0
4951	this bitch cunt whore slut every type of name deserves to fucking die u wilding for this	1	1	1
7295	nah nah nah  raised hand medium-light skin tone  loudly crying face 	0	0	0
2287	legal fellow priyanka bhatt...according to the scouts immigrant detention isn't meant to be punitive yet this facility perpetrates human rights violations	0	0	0
908	at world relief we try to make a refugee's first hours in the us less overwhelming by greeting them at the airport with an interpreter and volunteers who are eager to welcome them help provide every refugee with a warm welcome âž	0	0	0
7743	when they won't stop talking about their ex on a first date	0	0	0
1330	is the judge on crack he said said got needs to prove it considered the benefits of having illegal aliens here and working illegal immigration cost 135 b a year while illegals pay 8 b in taxes illegals are no benefit to the up s	1	0	0
331	austria holds drill to simulate repelling illegal migrants at border	0	0	0
2799	why do illegals proudly wave the flag of another country but consider it punishment to be sent back therelet's face it i without a job or welfare many illegals would self-deport.	1	0	1
3618	why is the white house betraying conservatives on immigration	0	0	0
3590	user but those are illegal immigrants children candace. they have more rights than our america children.#liberalismisamentaldisorder	1	0	1
9144	massive crowd cheers on as pagans kidnap woman and her son they make the son rape his mother the via user	0	0	0
1288	croatia ðÿ‡­ðÿ‡·  last wednesday, illegal migrants from iran were detained in a neighborhood near zapreå¡iä‡.	1	0	1
7437	when your friend moves away to be with someone...	0	0	0
5324	the bitch can go with whoever she wants now i guess i already took that v & destroyed every hole she got anyway raw too	1	1	1
5397	user a cold conniving bitch and a lesbian... sorta explains why married women voted against you... schadenfreude reigns	1	1	0
551	america wants to user	1	0	0
5146	ma end up fighting this bitch for you getting on my nerves lie hoe	1	1	0
3220	merely macron vow bruises won't tolerate resistance to inundation of muslin migrants via user	1	0	0
6822	user user what are you saying you are not daughter of ram rahim.	0	0	0
2864	illegal alien awaiting deportation for child rape now caught producing child porn	1	0	0
2715	illegal immigrant beheads 13-year-old girl in albata i media blackout	0	0	0
2570	pew study rest of the world takes in more refugees than us for first time	0	0	0
1300	disgraceful	0	0	0
2843	danish minister of immigration runs over immigrant blocking her car during a protest against the bad treatment of refugees in denmark - free speech time - user	1	0	1
4006	the pakistan immigrant experience is one of insecurity of never feeling genuine enough	0	0	0
220	immigration why us 2 million e migrants allowed and their families also more money leaving the e no that to pay for their passage to get to the uk...	0	0	0
418	two things to learn from this article i the people pushing wheelchairs in airports basically work for tips don't neglect to show your appreciation i the huntleigh us corporation sucks	0	0	0
8094	these awful men calling this black woman all the words they always use against women to mean hysterical is making	0	0	0
4613	wow trump just did it tweets video exposing dem/obama/hillary immigration hypocrisy	0	0	0
4142	abolish these keep ice not 1 more illegal in the u.s#blacktwitter is anti america pro open borders and illegals	1	0	0
8531	narcissus was an attention whore an asshole a snitch and just a complete fucking cunt in general ism kinda glad he isn't coming back	0	0	0
1590	user user at all voting booths deport all illegals , report the employers that are hiring them they take our ids vote in our elections and are a drain on our resources not to mention the drugs and murder we are tired of it	1	0	1
5625	i wish my emotions would feel like emotions instead of screaming and hysterical crying women trying to claw their way out of my torso	1	0	0
7730	pikeman gooooooo fuck yourself	0	0	0
7712	pikeman go is quite in fact the real walking dead	0	0	0
3822	as pope francs reminds us to you can help migrant families in need here in the mouton area help now at	0	0	0
2295	did you know last years our educators served over 160 refugees and immigrants through free es and real classes your continued support helps us engage and educate our community become a fundraiser or donate today	0	0	0
4950	the most worthless whore and bastard cunt on	1	1	0
695	building resilience through farming in kenya via user user user user user	0	0	0
5021	it user men are smarter than women that's why women always get played by men	1	0	0
1996	you don't have to go home but you can't stay here for first time in a decades italian-flagged vessel returns migrants to libya open borders activists outraged	0	0	0
8129	user having period while pregnant first month didn't help with the diagnostic either ))))everyone though this is a hysterical woman  ))	0	0	0
2973	nonmember 6 is close#votered if you support & grieve for victims such as hate sterile & mollie tibbettsvote de if you support the illegal aliens who killed them in cold blood#potus	1	0	1
7240	boys seem to like the girls that laugh at anything'.... unless it's their dick size	0	0	0
4866	bitches are always saying it's the little things until you have a a little bank account a little drinking problem for a little dick	1	0	0
2198	most of organs in japan are the descendants of illegal immigrant who went there after world war i not the people who was taken by force	0	0	0
2152	the protesters banged in droves on the glass for the entire time i was in north korea man's grandson man tiny appeared at a meeting in being on friday. there is no review requirement under the constitution to as a national defense issue -	1	0	1
209	still places on our bengaline (sylheti) class it's condones and language know anyone interested user user user	0	0	0
2696	hats off and thank you to their caravan made it to called texts this weekend to protest the treatment of migrant and immigrant families by now we need them to show up in nonmember and .	0	0	0
611	.@barackobama is a progressive an intellectual and in many ways a humanitarian in stark contrast our current imbecile and truly dangerous president however we must remember mama's contribution to the of immigrants and the separation of immigrant families	0	0	0
8249	oh he's some cunt using that poor woman as an argument against abortion in ireland user - you are a fucking disgusting human being	0	0	0
7833	plot twist women do in fact like nice guys women do not like nice guys who call you a bitch for rejecting him after he was “nice.”	0	0	0
7222	this is the only award i deserve in life	0	0	0
7017	wishing the one and only user very happy birthday and happy dial hope you do best whatever you do jail sari ram jail data did	0	0	0
6382	user i call them a whale ass hoe i was told be everyone envies skinny women	1	0	0
1787	another one user	1	0	1
2820	each week a new refugee chef... and a new menu ðÿ´	0	0	0
7285	it user it's aril fools day but i clown you bitches every day imam take the day off have a good day see you tomorrow stolen fry	0	0	0
7816	i understand the impulse cut ism a white woman who didn't vote for trump but the women of color who call out all we are right	0	0	0
2529	if syria refugees want to sue germany because of delays go a head who is to say they would be given asylum anyway ungrateful and sad	1	0	0
2817	nigeria immigrant raped 7-year-old girl in texts via user another scum...	1	0	1
2608	condones shelters are too maxed out to help pronto house refugees	0	0	0
7808	drake i love you we should date rihanna the savage	0	0	0
