id	HS_prediction
903	0
8330	0
5437	1
5695	0
2495	0
8758	0
5789	1
1587	0
4757	1
683	1
5167	0
860	0
8060	0
7493	0
1920	1
4396	1
6664	0
2920	1
678	1
6519	0
1220	0
6357	1
2548	0
538	1
2781	0
811	1
6168	1
4570	1
8292	1
2530	0
4326	1
7930	0
458	1
3434	1
6761	1
5552	1
8278	0
2392	1
1291	0
5817	1
6113	0
2512	0
7586	0
3253	1
7329	0
2672	1
8104	0
3088	1
783	1
5872	0
1488	0
7701	0
544	0
7918	0
4367	1
8951	1
615	0
8149	1
805	0
1394	1
3770	0
5882	1
4174	1
4185	1
8004	1
7650	0
924	0
2414	1
6867	0
6324	1
4577	1
5471	1
4035	1
3852	0
5871	1
6568	0
6622	0
4766	1
410	0
4634	0
2584	0
1212	0
8935	0
8502	0
6231	1
5528	1
2157	1
6588	0
5208	1
4951	1
7295	0
2287	0
908	0
7743	0
1330	1
331	1
2799	1
3618	0
3590	1
9144	0
1288	0
7437	0
5324	1
5397	1
551	1
5146	1
3220	0
6822	0
2864	0
2715	0
2570	0
1300	0
2843	0
4006	0
220	0
418	0
8094	0
4613	0
4142	1
8531	0
1590	1
5625	0
7730	1
7712	0
3822	0
2295	0
4950	1
695	0
5021	0
1996	0
8129	0
2973	1
7240	0
4866	1
2198	0
2152	0
209	0
2696	1
611	0
8249	1
7833	1
7222	0
7017	0
6382	1
1787	0
2820	0
7285	0
7816	0
2529	0
2817	1
2608	0
7808	0
7839	0
5464	1
7579	0
6152	1
6591	0
5898	1
3916	0
4997	0
5123	1
823	1
6979	0
6992	0
6414	1
6139	1
3244	0
6599	0
5621	0
4156	0
3842	1
7570	0
1139	1
8363	0
2311	1
5386	0
3457	0
679	1
3937	0
2136	0
3107	0
1028	1
1527	1
2192	0
661	0
6868	0
3310	0
7547	0
2115	0
6108	1
3734	0
6521	0
3060	0
2478	1
2314	1
7487	0
6725	1
3994	0
6019	1
7536	0
3855	1
8047	1
3859	1
5526	1
4633	1
4829	1
8362	0
5277	1
3141	0
2190	1
7023	0
2072	1
8581	1
8745	0
278	0
2613	0
7843	0
2188	1
5756	1
7723	0
5177	1
7583	0
6281	1
8408	0
4780	1
4913	1
6248	0
7827	1
8626	1
2755	0
9069	1
8396	0
4148	1
5165	0
5130	1
6404	1
6258	1
8928	1
1642	1
359	0
8776	0
4922	1
3630	0
8383	0
315	0
6420	0
6544	0
7322	0
5736	1
4259	0
4004	1
7501	0
1706	1
8484	1
4545	0
5064	1
1382	1
1908	1
5494	1
7511	0
1182	0
3714	0
7021	0
8370	0
8555	1
4763	1
4019	1
6481	1
6634	0
4865	0
8349	0
911	0
3293	0
7857	0
2826	0
2865	1
5739	1
7949	0
3786	1
6050	1
8923	1
4679	1
9005	1
378	0
1799	0
1751	1
6556	0
2377	0
2087	0
2155	1
1784	0
6026	1
1252	1
6629	0
9090	1
6513	1
1064	1
6864	1
5415	0
6692	0
6839	0
5326	0
4751	1
2416	0
9175	0
4071	0
3333	0
8503	0
6849	0
2009	0
4182	0
4079	0
3665	1
1387	1
1163	0
5976	0
3348	0
5771	0
974	1
5490	1
8572	0
522	1
5194	1
4325	0
9055	0
4441	0
7090	0
8770	0
774	0
8108	1
1964	0
9165	0
2984	0
5038	1
8455	1
3362	0
5612	1
3405	1
5962	1
5248	1
3722	0
1601	0
4973	1
6816	0
4726	1
6732	0
9185	1
1578	0
6093	1
1621	0
798	0
4249	1
933	0
5026	0
4178	0
4423	1
1596	0
414	0
4116	0
2411	1
1777	1
4028	0
3152	0
1143	0
7801	0
5904	1
8938	0
8112	0
8574	1
229	0
7486	0
7338	0
8156	0
7179	0
5477	1
2008	0
6811	0
3600	0
5711	1
5011	1
2117	0
8350	0
2000	0
7441	0
2094	1
3825	0
2397	1
6645	1
3647	0
2902	0
4636	0
442	0
8664	0
8729	1
8666	0
3938	0
1240	0
8561	1
2175	0
3730	0
1023	0
4010	0
366	1
7566	1
3170	0
7559	0
6329	1
7380	0
4817	1
6101	1
3551	0
9191	0
6306	1
9020	1
6250	0
5017	1
9137	0
3474	0
7974	0
8943	1
404	1
1001	0
1910	1
3812	1
1678	1
6144	1
2073	0
8968	0
7277	0
6922	0
376	0
6724	0
2775	0
4452	0
2572	0
3395	0
4391	1
268	0
852	0
5595	0
5144	1
5724	1
4846	1
3654	1
1870	1
4983	1
8151	1
4103	1
8687	0
848	0
1915	0
4311	0
7531	0
3640	1
465	0
7973	0
4981	1
7256	0
3081	1
4436	0
2289	0
476	0
1114	0
2804	0
8743	0
8995	0
6850	0
5888	0
1914	1
6242	0
1369	0
2332	1
1214	0
1076	0
5822	1
2109	0
3331	1
5148	1
8681	0
432	1
7221	0
5489	1
6171	1
5154	0
6415	1
6345	1
3323	0
3988	0
8266	1
6949	1
4408	0
6720	0
1303	0
8269	1
8536	1
2908	0
3682	1
1925	1
3911	1
7079	0
4725	1
1345	0
5535	1
2896	0
6691	0
3672	1
4443	1
1017	1
1110	1
2590	0
4672	0
3552	0
1225	0
5242	1
4056	0
7459	0
7096	0
4711	1
2249	0
3867	1
5755	0
7989	0
872	0
4027	0
3830	0
6157	1
2646	1
7442	0
1764	0
787	0
7136	0
8548	1
7663	1
6428	1
1108	0
