id	HS_prediction
23023	1
21529	0
24977	1
22522	1
23646	0
23813	1
23809	1
22841	1
21316	1
22222	0
23537	0
22918	0
21749	0
21567	1
24711	0
21683	0
24358	0
23962	0
22912	1
24755	0
20690	1
20187	0
21985	1
21447	0
21531	1
21357	0
21843	1
21471	0
20589	1
23358	1
20261	0
21609	0
20560	1
24616	0
20708	0
21791	0
22313	0
20886	1
22361	1
22691	0
21198	0
20078	1
23306	1
23476	0
20987	0
22678	0
22653	0
21773	0
24303	0
20083	1
23120	0
24900	1
23205	1
21232	0
22148	1
23155	1
22591	1
21870	0
22295	0
20017	0
23497	1
24776	1
22830	1
23527	0
21375	0
22460	0
20185	1
21057	1
20022	0
21770	0
23853	0
23127	0
21767	0
20712	0
20540	0
23072	0
24562	0
23080	1
24791	1
22823	0
23536	0
22709	1
20003	0
24295	1
23291	1
23964	1
21650	0
24470	0
23814	0
22303	1
20178	1
21046	0
23795	1
20700	0
23011	0
22896	0
22939	0
20373	0
24430	1
22945	0
21376	0
22296	0
22754	1
21132	0
24641	1
21703	1
21753	0
21319	1
23438	0
21294	1
20489	0
20778	1
23162	0
22858	0
22731	0
20474	0
24552	1
23298	0
24105	0
23958	0
23518	0
20994	1
23952	1
22601	0
23862	1
21419	0
20159	0
20028	1
23760	0
20283	0
21384	0
22464	1
20930	0
21856	0
22173	1
23031	1
20768	0
24664	1
20323	0
24563	0
20286	0
24648	0
22077	0
20406	1
21730	1
24728	0
22461	0
21272	0
23198	0
21162	1
21478	1
24788	1
21576	1
20683	0
24346	1
20568	1
21422	0
24037	0
20773	0
20471	1
22626	0
20941	0
21923	1
20649	1
22389	0
20967	0
20247	0
22023	1
22032	0
24901	1
21969	0
24101	1
21527	1
24957	1
23187	0
24618	1
20792	0
20126	1
21310	1
23612	0
22017	0
22413	0
21768	0
20758	0
21688	0
21217	0
22904	0
23418	0
24423	1
21385	1
23401	0
23482	1
21323	1
20838	0
22024	1
22597	0
22816	0
20482	1
20791	0
24111	0
20549	0
21019	0
20961	1
21125	1
24216	0
22084	0
24506	1
24036	1
24223	1
21536	0
23017	0
21350	0
22370	0
24202	0
21488	0
21834	0
24001	0
21928	0
24832	1
22031	1
22225	1
22090	1
24250	1
20212	0
24663	0
22207	0
23999	0
21891	1
21517	0
21074	0
23210	0
24021	0
20278	0
24436	1
24947	0
21401	0
20295	1
21838	1
21235	0
23133	0
21644	0
21199	0
21262	0
20027	0
22805	1
24904	1
21383	1
20457	0
21912	1
22234	0
21790	0
20709	0
24690	0
21411	0
23637	0
21432	1
20678	1
23948	0
23214	1
23264	1
23200	1
23956	0
22033	0
22838	0
24577	0
21392	0
21266	0
20266	0
22915	0
24366	0
23921	0
21983	0
23056	0
20236	1
24991	0
21672	1
21564	0
22248	0
22829	1
22350	0
24757	1
24583	1
23771	1
23840	1
23753	1
20453	0
20032	1
23466	0
23579	1
24702	0
24512	1
24280	0
20009	0
23854	1
20485	0
20736	0
21370	1
21489	0
24435	0
23055	0
21099	0
24723	1
20999	0
23938	0
22761	0
24187	0
22045	0
23332	0
21762	1
21854	1
20802	0
21589	0
22514	1
22156	0
23689	0
20186	1
21279	0
24444	0
20843	0
23375	0
20723	0
20668	0
24500	1
21345	1
23044	0
21251	0
22541	0
22629	0
21063	0
22455	1
20368	1
24525	1
20456	1
24856	0
22151	0
24765	0
20707	0
22141	1
21049	1
22600	1
23649	1
20667	0
24002	1
21450	1
21909	0
22419	1
21875	1
24039	0
22977	0
21861	0
24674	0
21078	0
23058	0
20473	0
21274	0
24011	0
20189	0
24339	0
22900	0
20352	0
21735	0
22844	1
23258	0
24080	0
20487	1
23460	0
20673	0
23710	0
20796	0
20157	0
21405	0
22240	0
24657	1
21218	1
20085	1
21583	1
24484	1
24325	0
23864	1
22359	0
22606	0
20504	0
22487	1
20885	1
20233	1
22345	1
22767	1
20206	1
22876	1
24208	0
20354	1
24069	0
23722	1
20639	1
24418	0
24637	0
24742	0
20762	1
21315	0
24813	1
24609	0
22750	1
24289	1
20163	0
21520	1
20290	1
23004	1
20574	0
24969	0
23277	0
20818	1
23530	0
21538	0
24251	0
23607	0
24411	1
22550	0
21559	0
20227	0
21348	0
22169	0
22034	0
23328	0
20061	0
23240	1
21485	1
20140	1
21512	1
24359	0
20532	1
22677	0
22055	0
23571	0
22091	0
20543	0
22094	1
20397	1
24678	0
22411	0
23085	0
21756	0
24075	1
20923	0
21502	1
22448	1
23050	0
22072	1
23037	1
22018	0
24517	0
20493	1
21914	1
23502	0
20183	1
23148	0
22271	0
21871	0
20891	0
22642	0
23816	0
22923	0
23531	0
23494	0
22640	1
21659	1
24782	1
20351	0
24662	0
21971	1
22360	0
21783	0
23030	0
23367	0
20331	1
24795	0
24511	0
20355	1
22002	1
23453	1
20695	0
20735	0
24162	1
22650	0
22262	0
21185	1
21569	1
23379	0
20051	1
20825	0
23403	0
22308	0
23202	1
21954	1
22890	0
22111	0
24885	1
24461	1
22298	1
20693	0
24292	1
24278	1
20542	0
24761	0
24214	0
24631	1
20975	0
22692	1
21059	0
20593	1
23327	0
24291	1
22041	1
22310	0
20058	0
24473	0
21278	0
20084	1
24053	0
23776	0
24085	0
21098	1
24166	1
22548	0
20093	0
22073	0
23489	1
24866	0
23486	0
23377	1
20218	0
22396	1
22638	0
23719	0
22744	0
24206	0
22810	0
23039	1
22035	0
24908	0
20670	0
20947	1
20484	1
22781	1
22063	0
24615	0
24884	0
20413	0
22153	0
20252	1
23349	0
24210	1
23941	0
22395	0
22372	1
21151	0
20443	1
21500	1
23487	0
22459	1
21549	0
23408	0
24265	0
23897	0
22076	1
21181	0
21686	0
24790	0
24452	0
23723	0
23129	0
21630	1
21167	1
24553	1
21804	1
24240	1
23852	0
22079	0
20805	1
21883	1
20102	1
24841	1
20117	1
21048	0
21781	1
23382	1
23820	1
22352	0
21745	0
21086	0
23606	0
23603	0
24354	0
24093	1
22339	1
23836	1
24910	0
24388	0
20096	0
22531	0
22226	1
23621	1
20116	1
22089	0
23738	1
23033	0
24403	1
22770	0
23730	0
21750	1
23218	0
23838	1
22378	1
21207	0
21342	1
20841	0
23001	1
21957	1
21388	0
21942	0
20411	0
20365	1
21008	1
23128	0
24598	1
22257	1
20249	0
23949	1
24812	1
23669	1
21640	1
20147	1
24415	0
20335	1
24116	0
23299	0
21490	1
23660	0
24335	0
24334	1
24197	1
22948	1
20064	1
21158	1
22682	1
24249	1
24840	0
22516	0
22519	0
23674	0
22119	0
24979	0
23087	1
23806	0
20595	0
24859	0
20576	0
21575	0
22523	0
23095	0
23968	1
23304	0
22564	0
22707	1
23721	1
24985	0
22374	0
24717	0
22914	0
24132	0
23835	1
20920	0
23170	1
24008	1
24707	1
20158	0
23193	0
24426	1
22667	0
22795	0
23484	0
21913	0
24848	0
24248	0
24092	0
24769	1
23873	1
20167	1
24392	0
21317	1
22587	0
22435	1
23005	1
24417	1
23513	1
21096	1
20461	0
22874	1
24328	0
22932	0
22390	1
24852	1
21080	1
24799	0
22486	0
20740	1
24763	0
20566	0
23384	0
23879	0
24645	0
24891	1
21685	0
20439	0
23428	1
23012	1
22058	0
22662	1
20377	0
23508	0
21415	0
22331	1
21658	0
20180	1
24636	0
20118	1
20075	0
20907	0
22016	0
23322	1
23916	0
23404	0
24271	0
21896	1
23002	1
23410	1
21593	1
22757	0
23491	1
20274	0
22777	1
22891	1
24997	1
22101	1
23189	0
21346	0
24485	1
20091	0
20503	0
23645	0
23092	0
24798	1
21426	0
20012	0
20887	0
21171	0
24959	1
22377	0
22174	0
23523	1
22444	1
23599	1
21825	0
24963	0
21993	1
21646	0
21025	0
24057	0
21632	0
20263	0
22147	0
20754	0
21395	0
21040	0
21400	0
20809	0
21313	1
24603	1
22808	1
20733	0
20844	0
23191	1
21060	1
24671	0
23184	1
22992	0
22425	0
24893	1
23289	1
22349	0
23858	0
22312	1
20984	1
20771	0
24421	0
22542	1
24628	0
24440	1
23038	1
20515	0
22282	0
21009	1
24665	0
22439	0
24385	0
24680	0
23275	0
23718	1
24205	0
23331	1
24737	1
22878	0
22807	0
21280	1
22576	1
23119	0
20470	1
21454	1
23084	0
23204	1
20672	0
22892	1
20982	0
22242	1
22960	0
20216	0
20541	0
23683	0
24018	0
24670	1
22893	0
23048	0
22047	0
24650	1
24003	1
23074	1
24647	0
22171	0
20045	1
21968	0
22445	0
23175	0
22842	1
21656	0
23125	1
23492	0
24543	0
23391	0
24231	1
20742	1
24673	0
22936	1
24703	0
24275	1
22702	1
23945	0
23555	0
23360	0
24570	0
23602	0
20246	0
22314	0
21245	1
21836	1
24424	0
20581	0
20772	1
21950	1
20506	0
23395	1
24524	1
23137	0
20318	0
23235	0
23498	0
22125	0
24739	0
23572	0
22011	0
22981	1
23053	0
23619	1
24225	0
20057	0
22341	1
22864	0
21461	0
21276	1
23573	1
21982	0
20134	0
24881	0
23551	0
22982	1
20321	0
