id	HS	TR	AG
18201	0	0	0
18202	0	0	0
18203	0	0	0
18204	1	0	1
18205	0	0	0
18206	1	0	0
18207	1	0	0
18208	0	0	0
18209	0	0	0
18210	1	0	0
18211	1	0	1
18212	1	0	1
18213	1	1	1
18214	0	0	0
18215	0	0	0
18216	0	0	0
18217	0	0	0
18218	0	0	0
18219	0	0	0
18220	0	0	0
18221	0	0	0
18222	1	0	0
18223	0	0	0
18224	1	0	1
18225	0	0	0
18226	0	0	0
18227	0	0	0
18228	0	0	0
18229	0	0	0
18230	1	0	0
18231	0	0	0
18232	1	0	0
18233	0	0	0
18234	1	0	0
18235	0	0	0
18236	1	0	0
18237	0	0	0
18238	1	0	0
18239	0	0	0
18240	0	0	0
18241	0	0	0
18242	0	0	0
18243	1	0	1
18244	0	0	0
18245	0	0	0
18246	0	0	0
18247	0	0	0
18248	0	0	0
18249	1	0	1
18250	0	0	0
18251	0	0	0
18252	1	0	1
18253	1	0	0
18254	1	0	0
18255	0	0	0
18256	0	0	0
18257	1	0	1
18258	0	0	0
18259	1	0	0
18260	0	0	0
18261	0	0	0
18262	0	0	0
18263	0	0	0
18264	1	0	1
18265	0	0	0
18266	0	0	0
18267	1	0	0
18268	1	0	0
18269	0	0	0
18270	1	0	0
18271	0	0	0
18272	1	0	0
18273	0	0	0
18274	0	0	0
18275	0	0	0
18276	1	0	1
18277	0	0	0
18278	0	0	0
18279	0	0	0
18280	1	0	0
18281	1	0	1
18282	0	0	0
18283	1	0	0
18284	1	0	0
18285	1	0	1
18286	0	0	0
18287	0	0	0
18288	1	0	0
18289	0	0	0
18290	1	0	0
18291	0	0	0
18292	0	0	0
18293	0	0	0
18294	1	0	1
18295	0	0	0
18296	1	0	1
18297	0	0	0
18298	1	0	0
18299	0	0	0
18300	0	0	0
18301	1	0	1
18302	1	0	0
18303	0	0	0
18304	0	0	0
18305	0	0	0
18306	0	0	0
18307	0	0	0
18308	0	0	0
18309	0	0	0
18310	0	0	0
18311	1	0	0
18312	1	0	1
18313	1	0	0
18314	0	0	0
18315	0	0	0
18316	1	1	1
18317	0	0	0
18318	1	0	1
18319	1	0	0
18320	1	0	1
18321	0	0	0
18322	1	0	0
18323	0	0	0
18324	1	0	1
18325	1	0	0
18326	0	0	0
18327	1	0	1
18328	1	0	1
18329	0	0	0
18330	0	0	0
18331	1	0	1
18332	0	0	0
18333	0	0	0
18334	0	0	0
18335	1	0	1
18336	1	0	1
18337	0	0	0
18338	1	0	1
18339	0	0	0
18340	1	0	1
18341	1	0	1
18342	0	0	0
18343	0	0	0
18344	0	0	0
18345	0	0	0
18346	0	0	0
18347	0	0	0
18348	1	0	0
18349	0	0	0
18350	1	0	1
18351	0	0	0
18352	1	0	0
18353	1	0	0
18354	0	0	0
18355	0	0	0
18356	0	0	0
18357	0	0	0
18358	1	0	1
18359	1	0	0
18360	1	0	1
18361	1	0	1
18362	0	0	0
18363	0	0	0
18364	0	0	0
18365	0	0	0
18366	0	0	0
18367	1	0	0
18368	0	0	0
18369	1	0	1
18370	0	0	0
18371	0	0	0
18372	0	0	0
18373	0	0	0
18374	0	0	0
18375	0	0	0
18376	0	0	0
18377	0	0	0
18378	0	0	0
18379	1	0	1
18380	0	0	0
18381	0	0	0
18382	1	0	0
18383	1	1	0
18384	0	0	0
18385	1	0	1
18386	0	0	0
18387	1	0	0
18388	1	0	0
18389	1	0	1
18390	0	0	0
18391	0	0	0
18392	1	0	0
18393	0	0	0
18394	0	0	0
18395	1	0	1
18396	0	0	0
18397	1	0	1
18398	0	0	0
18399	0	0	0
18400	0	0	0
18401	1	0	1
18402	1	0	0
18403	0	0	0
18404	0	0	0
18405	1	0	1
18406	0	0	0
18407	1	0	0
18408	1	0	0
18409	1	1	1
18410	1	1	1
18411	0	0	0
18412	0	0	0
18413	1	0	1
18414	1	0	1
18415	0	0	0
18416	1	0	0
18417	0	0	0
18418	1	0	1
18419	0	0	0
18420	1	0	1
18421	0	0	0
18422	1	0	1
18423	1	0	1
18424	1	0	1
18425	0	0	0
18426	1	0	1
18427	0	0	0
18428	0	0	0
18429	0	0	0
18430	0	0	0
18431	0	0	0
18432	0	0	0
18433	1	1	0
18434	1	0	0
18435	0	0	0
18436	0	0	0
18437	0	0	0
18438	0	0	0
18439	1	0	1
18440	0	0	0
18441	0	0	0
18442	0	0	0
18443	0	0	0
18444	1	0	0
18445	0	0	0
18446	1	0	0
18447	0	0	0
18448	0	0	0
18449	0	0	0
18450	0	0	0
18451	0	0	0
18452	0	0	0
18453	1	1	1
18454	1	0	1
18455	1	0	1
18456	0	0	0
18457	0	0	0
18458	1	0	1
18459	0	0	0
18460	1	0	0
18461	0	0	0
18462	0	0	0
18463	1	0	0
18464	0	0	0
18465	1	0	1
18466	0	0	0
18467	0	0	0
18468	1	0	1
18469	0	0	0
18470	1	0	1
18471	1	1	1
18472	0	0	0
18473	0	0	0
18474	0	0	0
18475	0	0	0
18476	0	0	0
18477	1	0	1
18478	0	0	0
18479	1	0	1
18480	1	0	0
18481	0	0	0
18482	1	0	1
18483	1	0	0
18484	0	0	0
18485	0	0	0
18486	0	0	0
18487	0	0	0
18488	0	0	0
18489	0	0	0
18490	1	0	1
18491	0	0	0
18492	0	0	0
18493	0	0	0
18494	0	0	0
18495	0	0	0
18496	1	0	1
18497	1	0	0
18498	1	0	0
18499	0	0	0
18500	0	0	0
18501	1	1	1
18502	0	0	0
18503	1	1	1
18504	0	0	0
18505	1	0	0
18506	1	0	1
18507	0	0	0
18508	1	0	0
18509	0	0	0
18510	1	0	0
18511	1	0	1
18512	0	0	0
18513	1	0	0
18514	0	0	0
18515	1	0	0
18516	1	1	1
18517	0	0	0
18518	1	0	0
18519	1	0	0
18520	0	0	0
18521	1	0	1
18522	0	0	0
18523	0	0	0
18524	0	0	0
18525	1	1	1
18526	0	0	0
18527	1	1	1
18528	1	0	1
18529	0	0	0
18530	0	0	0
18531	0	0	0
18532	1	0	1
18533	1	0	1
18534	1	0	0
18535	1	0	1
18536	1	0	0
18537	1	0	1
18538	0	0	0
18539	1	0	0
18540	0	0	0
18541	1	0	0
18542	0	0	0
18543	0	0	0
18544	0	0	0
18545	1	0	0
18546	0	0	0
18547	0	0	0
18548	0	0	0
18549	1	0	0
18550	0	0	0
18551	0	0	0
18552	0	0	0
18553	1	0	0
18554	0	0	0
18555	0	0	0
18556	0	0	0
18557	1	0	0
18558	0	0	0
18559	0	0	0
18560	0	0	0
18561	0	0	0
