id	cleaned_text	HS	TR	AG
23023	cuanto inmigrante cremoso que haya y cuanto ha en realidad ciudadano de un lugar llamado mundo...	0	0	0
21529	que enriquecimiento para españa..https //t.co/92gm5p7zd9	0	0	0
24977	ser una puta guerra es una puta guerra tu frase mi frase del siglo	0	0	0
22522	ser callante perra que me delante en semen mal amigo	0	0	0
23646	amos la puta madre te lo merecer flor a	0	0	0
23813	"aquí tenedor a los de en arma preparado otra historia lacrimógena sobre refugiado para que aflojemos los bolsillo y amos mas ""receptivos"" a los flujo ""migrantes"""	1	0	1
23809	me enamorar de un ayate	0	0	0
22841	ser bloque a usuario que le llama puta él pues llamar puta a su madre pero nadie pues llamar puta a él	0	0	0
21316	todo tu tres bien perra malagueño jajajajajajajaja.	1	1	1
22222	puta que bueno que me enseñar a tocar la flauta en la primaria me ha servidor un chingo en mi vida nadie nunca en su perra vida	0	0	0
23537	ser el puta catalufa me vale del corazón el puta españa me lo enseñar en el colegio	0	0	0
22918	ser callante perra por un partido no ha vergüenza para alguien que lleva 5 título	1	1	1
21749	amos de mal en peor el gobierno prueba que se enseña el árabe y la cultura marroquí el los colegio público contrabando el gobierno marroquí los contenido otra más esto no se pues consentir sabara libre ya	1	0	1
21567	esta mujer es una verdadera perra......sera que se embriaga con la sangre que derrama el pueblo humilde argentino	1	1	1
24711	que temor árabe amigo	0	0	0
21683	hermosa la clase de danza árabes de las adolescente y adulta lunes y jueves 19hs. te esperador a a escuela de danza raya - alvina argentina	0	0	0
24358	en hollywood las mujer son acusada sexualmente,pero se lo cabrón inventador devino pacer es acusado de acoso sexual por otro hombre y que curioso que a este no lo pongo en duda	0	0	0
23962	bruselas tema que la inmigración desate en españa el populismo. la xenofobia fomentar por la nueva dirección del pe y es preocupar en la comisión europea en la coyuntura actual españa es una pieza fundamental para dar fuerza al bloque europeísta.	0	0	0
22912	ser callante perra y aguacate	1	1	1
24755	me tizne re podrido toda con eso de tu novia es una puta no tener que estar con ella es alta zorra y la la la si no conocer no opinión la concha de la lora , si tanto huevo les de decir dígamelo a mí te podrido de los pelotudos que hablar sin saber	1	1	1
20690	ser callante no te meta con mi perra a	0	0	0
